AreaCode,Size_sqft,Bedrooms,Bathrooms,Furnishing,View,Developer,ParkingSpaces,AnnualRent,PropertyValuation,PropertyType,PropertyAge,AmenityCount,PricePerSqFt,RentToValueRatio,BedBathRatio,RentalYield,PricePerBedroom,PricePerBathroom,RentPerBedroom,RentPerBathroom,AgeBucket,AreaName,Count_Area,AvgAge_Area,MedianAge_Area,AvgVal_Area,MedianVal_Area,AvgRent_Area,MedianRent_Area,AvgPricePerSqFt_Area,AvgRentToValue_Area
5,2343,3,3,0,4,3,1,151296,3626906,1,8,6,1547.9752454118652,0.04171489418253464,1.0,4.171489418253464,1208968.6666666667,1208968.6666666667,50432.0,50432.0,2,Jvc,150,13.586666666666666,14.0,4014959.1533333333,2651562.5,183752.94666666666,136238.0,2326.06565864143,0.052906540760329336
6,1487,1,1,0,1,5,3,77140,1333797,0,22,3,896.9717552118359,0.05783488791772661,1.0,5.783488791772661,1333797.0,1333797.0,77140.0,77140.0,1,Palm Jumeirah,150,13.633333333333333,12.0,3560174.4,2499373.5,165528.33333333334,118620.0,1884.9414233125622,0.0533842397045628
3,1595,3,4,0,0,5,3,104219,1940159,0,21,5,1216.4006269592476,0.05371673146376148,0.75,5.371673146376148,646719.6666666666,485039.75,34739.666666666664,26054.75,1,Dubai Marina,150,14.393333333333333,14.5,3314335.4133333336,1853638.0,134646.74666666667,103249.5,2471.29217690207,0.0555398391489938
3,1672,3,2,1,1,1,1,74465,1664679,0,23,3,995.6214114832536,0.04473234779798387,1.5,4.473234779798387,554893.0,832339.5,24821.666666666668,37232.5,1,Dubai Marina,150,14.393333333333333,14.5,3314335.4133333336,1853638.0,134646.74666666667,103249.5,2471.29217690207,0.0555398391489938
4,5805,3,4,2,4,4,2,501766,8155037,2,17,5,1404.829801894918,0.06152835358073789,0.75,6.152835358073789,2718345.6666666665,2038759.25,167255.33333333334,125441.5,0,Jlt,150,13.88,13.5,3156171.5933333333,2043886.0,154496.21333333335,114277.5,1840.1885660442886,0.24058174764235896
1,5993,5,6,0,2,1,1,412188,8612620,2,1,6,1437.1132988486568,0.047858607485294836,0.8333333333333334,4.785860748529483,1722524.0,1435436.6666666667,82437.6,68698.0,2,Business Bay,150,13.353333333333333,13.5,4000665.84,2364883.0,179861.19333333333,124607.0,2288.9976748101667,0.05601908357283476
6,1275,3,2,0,0,0,1,54905,1330882,0,8,3,1043.829019607843,0.04125459657580462,1.5,4.125459657580461,443627.3333333333,665441.0,18301.666666666668,27452.5,2,Palm Jumeirah,150,13.633333333333333,12.0,3560174.4,2499373.5,165528.33333333334,118620.0,1884.9414233125622,0.0533842397045628
0,3430,2,2,1,4,3,1,395596,5709597,1,21,4,1664.6055393586005,0.06928615101906492,1.0,6.928615101906492,2854798.5,2854798.5,197798.0,197798.0,1,Arabian Ranches,150,13.866666666666667,13.0,3829629.88,2393458.0,179787.60666666666,126352.5,2254.776368531902,0.05689350499168153
2,1850,2,3,1,2,5,1,160926,2990685,1,18,5,1616.5864864864866,0.05380907718465836,0.6666666666666666,5.380907718465836,1495342.5,996895.0,80463.0,53642.0,0,Downtown,150,14.986666666666666,16.5,3836531.2933333335,2075979.5,135382.2,94756.0,3732.885512365932,0.05127796328444744
4,2266,2,1,1,0,3,2,218956,3352588,1,9,4,1479.5180935569285,0.06530954593883889,2.0,6.530954593883889,1676294.0,3352588.0,109478.0,218956.0,2,Jlt,150,13.88,13.5,3156171.5933333333,2043886.0,154496.21333333335,114277.5,1840.1885660442886,0.24058174764235896
0,2036,3,2,2,0,5,3,124877,1864254,1,6,5,915.6453831041257,0.06698497093207256,1.5,6.698497093207257,621418.0,932127.0,41625.666666666664,62438.5,2,Arabian Ranches,150,13.866666666666667,13.0,3829629.88,2393458.0,179787.60666666666,126352.5,2254.776368531902,0.05689350499168153
1,1851,2,1,1,4,1,1,115736,2361512,0,4,4,1275.8033495407888,0.049009278801039335,2.0,4.900927880103934,1180756.0,2361512.0,57868.0,115736.0,2,Business Bay,150,13.353333333333333,13.5,4000665.84,2364883.0,179861.19333333333,124607.0,2288.9976748101667,0.05601908357283476
4,3836,6,7,2,1,0,2,300777,4626504,2,7,5,1206.0750782064652,0.06501172375512915,0.8571428571428571,6.5011723755129145,771084.0,660929.1428571428,50129.5,42968.142857142855,2,Jlt,150,13.88,13.5,3156171.5933333333,2043886.0,154496.21333333335,114277.5,1840.1885660442886,0.24058174764235896
4,1280,3,4,2,3,3,3,54511,982830,0,20,5,767.8359375,0.05546330494592147,0.75,5.546330494592147,327610.0,245707.5,18170.333333333332,13627.75,0,Jlt,150,13.88,13.5,3156171.5933333333,2043886.0,154496.21333333335,114277.5,1840.1885660442886,0.24058174764235896
0,1938,1,2,0,3,0,1,137341,2062677,0,1,5,1064.3328173374614,0.06658386165163038,0.5,6.658386165163038,2062677.0,1031338.5,137341.0,68670.5,2,Arabian Ranches,150,13.866666666666667,13.0,3829629.88,2393458.0,179787.60666666666,126352.5,2254.776368531902,0.05689350499168153
1,4072,6,6,1,1,4,3,292076,5149247,2,3,4,1264.5498526522592,0.056722079946834945,1.0,5.672207994683495,858207.8333333334,858207.8333333334,48679.333333333336,48679.333333333336,2,Business Bay,150,13.353333333333333,13.5,4000665.84,2364883.0,179861.19333333333,124607.0,2288.9976748101667,0.05601908357283476
3,1351,3,4,0,3,5,1,89556,1853423,0,17,5,1371.8897113249445,0.04831924498616883,0.75,4.831924498616883,617807.6666666666,463355.75,29852.0,22389.0,0,Dubai Marina,150,14.393333333333333,14.5,3314335.4133333336,1853638.0,134646.74666666667,103249.5,2471.29217690207,0.0555398391489938
6,3624,6,5,0,1,4,2,331301,5414074,2,18,5,1493.949779249448,0.06119255111769806,1.2,6.119255111769806,902345.6666666666,1082814.8,55216.833333333336,66260.2,0,Palm Jumeirah,150,13.633333333333333,12.0,3560174.4,2499373.5,165528.33333333334,118620.0,1884.9414233125622,0.0533842397045628
3,1077,3,3,2,3,5,2,52277,1011184,0,25,6,938.8895078922934,0.05169880061393377,1.0,5.169880061393377,337061.3333333333,337061.3333333333,17425.666666666668,17425.666666666668,1,Dubai Marina,150,14.393333333333333,14.5,3314335.4133333336,1853638.0,134646.74666666667,103249.5,2471.29217690207,0.0555398391489938
7,1904,3,4,1,2,5,3,123404,2367268,0,15,4,1243.313025210084,0.05212928996632405,0.75,5.212928996632405,789089.3333333334,591817.0,41134.666666666664,30851.0,0,The Springs,150,13.433333333333334,13.0,2985468.46,2037891.0,155682.62666666668,119137.5,1519.4261088490166,0.05484829468197995
2,2061,4,5,2,3,4,1,90028,1752436,1,11,3,850.2843279961183,0.051373060128872036,0.8,5.137306012887204,438109.0,350487.2,22507.0,18005.6,0,Downtown,150,14.986666666666666,16.5,3836531.2933333335,2075979.5,135382.2,94756.0,3732.885512365932,0.05127796328444744
1,1091,2,2,1,1,3,3,32697,798837,0,23,6,732.2062328139322,0.04093075308229338,1.0,4.093075308229338,399418.5,399418.5,16348.5,16348.5,1,Business Bay,150,13.353333333333333,13.5,4000665.84,2364883.0,179861.19333333333,124607.0,2288.9976748101667,0.05601908357283476
1,441,3,2,2,1,5,2,26086,579261,0,3,4,1313.5170068027212,0.04503324062900834,1.5,4.503324062900834,193087.0,289630.5,8695.333333333334,13043.0,2,Business Bay,150,13.353333333333333,13.5,4000665.84,2364883.0,179861.19333333333,124607.0,2288.9976748101667,0.05601908357283476
3,3170,5,4,2,1,2,3,244414,5168912,2,7,3,1630.5716088328077,0.0472853861702424,1.25,4.72853861702424,1033782.4,1292228.0,48882.8,61103.5,2,Dubai Marina,150,14.393333333333333,14.5,3314335.4133333336,1853638.0,134646.74666666667,103249.5,2471.29217690207,0.0555398391489938
4,3029,2,3,1,2,0,2,129480,2461523,1,5,3,812.6520303730604,0.05260158040367691,0.6666666666666666,5.260158040367691,1230761.5,820507.6666666666,64740.0,43160.0,2,Jlt,150,13.88,13.5,3156171.5933333333,2043886.0,154496.21333333335,114277.5,1840.1885660442886,0.24058174764235896
6,1141,3,3,2,0,0,2,79218,1223036,0,8,4,1071.8983347940402,0.06477160116300747,1.0,6.477160116300746,407678.6666666667,407678.6666666667,26406.0,26406.0,2,Palm Jumeirah,150,13.633333333333333,12.0,3560174.4,2499373.5,165528.33333333334,118620.0,1884.9414233125622,0.0533842397045628
4,902,1,1,0,3,1,2,50154,784465,0,20,6,869.6951219512196,0.0639340187261382,1.0,6.39340187261382,784465.0,784465.0,50154.0,50154.0,0,Jlt,150,13.88,13.5,3156171.5933333333,2043886.0,154496.21333333335,114277.5,1840.1885660442886,0.24058174764235896
0,1620,3,3,0,3,5,1,120477,2029029,0,8,3,1252.487037037037,0.059376677218511906,1.0,5.937667721851191,676343.0,676343.0,40159.0,40159.0,2,Arabian Ranches,150,13.866666666666667,13.0,3829629.88,2393458.0,179787.60666666666,126352.5,2254.776368531902,0.05689350499168153
6,435,1,1,2,0,5,3,29646,424127,0,8,4,975.0045977011495,0.06989887462953313,1.0,6.989887462953313,424127.0,424127.0,29646.0,29646.0,2,Palm Jumeirah,150,13.633333333333333,12.0,3560174.4,2499373.5,165528.33333333334,118620.0,1884.9414233125622,0.0533842397045628
0,1329,2,2,0,4,3,1,63269,1160360,0,20,5,873.1075996990219,0.054525319728360166,1.0,5.452531972836017,580180.0,580180.0,31634.5,31634.5,0,Arabian Ranches,150,13.866666666666667,13.0,3829629.88,2393458.0,179787.60666666666,126352.5,2254.776368531902,0.05689350499168153
4,2197,3,2,0,0,2,3,163935,2399424,1,24,5,1092.136549840692,0.06832264743538449,1.5,6.832264743538449,799808.0,1199712.0,54645.0,81967.5,1,Jlt,150,13.88,13.5,3156171.5933333333,2043886.0,154496.21333333335,114277.5,1840.1885660442886,0.24058174764235896
6,425,3,3,1,2,2,2,19000,322687,0,13,6,759.2635294117647,0.05888058707044287,1.0,5.888058707044287,107562.33333333333,107562.33333333333,6333.333333333333,6333.333333333333,0,Palm Jumeirah,150,13.633333333333333,12.0,3560174.4,2499373.5,165528.33333333334,118620.0,1884.9414233125622,0.0533842397045628
5,1552,2,1,2,1,0,2,108329,2214399,0,13,4,1426.8034793814434,0.048920271369342204,2.0,4.89202713693422,1107199.5,2214399.0,54164.5,108329.0,0,Jvc,150,13.586666666666666,14.0,4014959.1533333333,2651562.5,183752.94666666666,136238.0,2326.06565864143,0.052906540760329336
7,1671,1,2,2,2,4,1,85262,1907603,0,18,3,1141.5936564931178,0.04469588273870402,0.5,4.469588273870402,1907603.0,953801.5,85262.0,42631.0,0,The Springs,150,13.433333333333334,13.0,2985468.46,2037891.0,155682.62666666668,119137.5,1519.4261088490166,0.05484829468197995
7,1616,2,2,1,3,2,1,147991,2325632,0,4,3,1439.1287128712872,0.0636347453079421,1.0,6.3634745307942095,1162816.0,1162816.0,73995.5,73995.5,2,The Springs,150,13.433333333333334,13.0,2985468.46,2037891.0,155682.62666666668,119137.5,1519.4261088490166,0.05484829468197995
1,1515,1,2,0,0,0,3,115760,2176985,0,2,4,1436.953795379538,0.05317445917174441,0.5,5.3174459171744415,2176985.0,1088492.5,115760.0,57880.0,2,Business Bay,150,13.353333333333333,13.5,4000665.84,2364883.0,179861.19333333333,124607.0,2288.9976748101667,0.05601908357283476
6,5366,6,6,2,0,2,1,615281,9454414,2,23,6,1761.910920611256,0.06507870292119639,1.0,6.507870292119638,1575735.6666666667,1575735.6666666667,102546.83333333333,102546.83333333333,1,Palm Jumeirah,150,13.633333333333333,12.0,3560174.4,2499373.5,165528.33333333334,118620.0,1884.9414233125622,0.0533842397045628
5,3176,3,4,2,3,1,3,252888,3925170,1,20,3,1235.8847607052896,0.06442727321364425,0.75,6.4427273213644245,1308390.0,981292.5,84296.0,63222.0,0,Jvc,150,13.586666666666666,14.0,4014959.1533333333,2651562.5,183752.94666666666,136238.0,2326.06565864143,0.052906540760329336
3,1236,2,2,2,3,1,2,94340,1669654,0,4,3,1350.8527508090615,0.05650272451657649,1.0,5.650272451657648,834827.0,834827.0,47170.0,47170.0,2,Dubai Marina,150,14.393333333333333,14.5,3314335.4133333336,1853638.0,134646.74666666667,103249.5,2471.29217690207,0.0555398391489938
6,916,2,1,0,1,0,3,70251,1195521,0,14,6,1305.1539301310045,0.05876182852496945,2.0,5.876182852496945,597760.5,1195521.0,35125.5,70251.0,0,Palm Jumeirah,150,13.633333333333333,12.0,3560174.4,2499373.5,165528.33333333334,118620.0,1884.9414233125622,0.0533842397045628
5,1524,1,1,2,1,1,1,74469,1740104,0,8,6,1141.8005249343832,0.04279571795708762,1.0,4.279571795708762,1740104.0,1740104.0,74469.0,74469.0,2,Jvc,150,13.586666666666666,14.0,4014959.1533333333,2651562.5,183752.94666666666,136238.0,2326.06565864143,0.052906540760329336
3,640,3,2,1,4,4,1,50827,919996,0,13,6,1437.49375,0.05524697933469276,1.5,5.524697933469276,306665.3333333333,459998.0,16942.333333333332,25413.5,0,Dubai Marina,150,14.393333333333333,14.5,3314335.4133333336,1853638.0,134646.74666666667,103249.5,2471.29217690207,0.0555398391489938
2,2365,3,3,2,3,4,3,151791,3037467,1,11,5,1284.3412262156448,0.049972888594345226,1.0,4.997288859434523,1012489.0,1012489.0,50597.0,50597.0,0,Downtown,150,14.986666666666666,16.5,3836531.2933333335,2075979.5,135382.2,94756.0,3732.885512365932,0.05127796328444744
7,1059,1,2,0,0,3,3,77935,1515158,0,10,4,1430.7440982058545,0.05143687985015424,0.5,5.143687985015425,1515158.0,757579.0,77935.0,38967.5,2,The Springs,150,13.433333333333334,13.0,2985468.46,2037891.0,155682.62666666668,119137.5,1519.4261088490166,0.05484829468197995
2,475,1,2,0,1,5,1,22899,360934,0,5,5,759.8610526315789,0.06344373209506447,0.5,6.344373209506447,360934.0,180467.0,22899.0,11449.5,2,Downtown,150,14.986666666666666,16.5,3836531.2933333335,2075979.5,135382.2,94756.0,3732.885512365932,0.05127796328444744
4,1818,2,3,2,3,0,3,80865,1372111,0,24,3,754.7365236523652,0.05893473632964097,0.6666666666666666,5.893473632964097,686055.5,457370.3333333333,40432.5,26955.0,1,Jlt,150,13.88,13.5,3156171.5933333333,2043886.0,154496.21333333335,114277.5,1840.1885660442886,0.24058174764235896
4,3329,2,2,2,0,2,2,259307,5313561,1,24,3,1596.1432862721538,0.04880098299426693,1.0,4.8800982994266935,2656780.5,2656780.5,129653.5,129653.5,1,Jlt,150,13.88,13.5,3156171.5933333333,2043886.0,154496.21333333335,114277.5,1840.1885660442886,0.24058174764235896
0,900,3,3,1,4,3,2,57016,1287236,0,18,4,1430.2622222222221,0.044293354132420165,1.0,4.429335413242017,429078.6666666667,429078.6666666667,19005.333333333332,19005.333333333332,0,Arabian Ranches,150,13.866666666666667,13.0,3829629.88,2393458.0,179787.60666666666,126352.5,2254.776368531902,0.05689350499168153
6,4382,5,6,2,1,2,2,383642,7833489,2,11,3,1787.6515289821998,0.04897460122813729,0.8333333333333334,4.8974601228137296,1566697.8,1305581.5,76728.4,63940.333333333336,0,Palm Jumeirah,150,13.633333333333333,12.0,3560174.4,2499373.5,165528.33333333334,118620.0,1884.9414233125622,0.0533842397045628
7,4371,5,4,2,0,3,1,464316,7771395,2,16,6,1777.9444063143446,0.05974680221504634,1.25,5.9746802215046335,1554279.0,1942848.75,92863.2,116079.0,0,The Springs,150,13.433333333333334,13.0,2985468.46,2037891.0,155682.62666666668,119137.5,1519.4261088490166,0.05484829468197995
4,1804,3,2,2,0,3,3,143233,2370413,0,1,6,1313.9761640798226,0.06042533516311292,1.5,6.042533516311292,790137.6666666666,1185206.5,47744.333333333336,71616.5,2,Jlt,150,13.88,13.5,3156171.5933333333,2043886.0,154496.21333333335,114277.5,1840.1885660442886,0.24058174764235896
2,5070,3,3,1,3,4,1,533242,8043619,2,19,6,1586.5126232741618,0.06629379138917445,1.0,6.629379138917445,2681206.3333333335,2681206.3333333335,177747.33333333334,177747.33333333334,0,Downtown,150,14.986666666666666,16.5,3836531.2933333335,2075979.5,135382.2,94756.0,3732.885512365932,0.05127796328444744
0,958,1,1,0,1,3,3,98117,1421627,0,2,6,1483.9530271398748,0.06901740048550006,1.0,6.901740048550006,1421627.0,1421627.0,98117.0,98117.0,2,Arabian Ranches,150,13.866666666666667,13.0,3829629.88,2393458.0,179787.60666666666,126352.5,2254.776368531902,0.05689350499168153
0,1208,1,1,2,0,0,3,75874,1754298,0,13,3,1452.2334437086092,0.04325034857247742,1.0,4.325034857247742,1754298.0,1754298.0,75874.0,75874.0,0,Arabian Ranches,150,13.866666666666667,13.0,3829629.88,2393458.0,179787.60666666666,126352.5,2254.776368531902,0.05689350499168153
1,1668,3,3,2,3,2,1,119402,2430291,0,21,4,1457.0089928057555,0.04913074195641592,1.0,4.913074195641592,810097.0,810097.0,39800.666666666664,39800.666666666664,1,Business Bay,150,13.353333333333333,13.5,4000665.84,2364883.0,179861.19333333333,124607.0,2288.9976748101667,0.05601908357283476
6,880,3,2,2,1,5,1,70334,1202919,0,5,6,1366.9534090909092,0.058469439754463934,1.5,5.846943975446393,400973.0,601459.5,23444.666666666668,35167.0,2,Palm Jumeirah,150,13.633333333333333,12.0,3560174.4,2499373.5,165528.33333333334,118620.0,1884.9414233125622,0.0533842397045628
4,1158,1,1,0,3,1,1,109371,1689763,0,19,6,1459.2081174438688,0.06472564495731058,1.0,6.472564495731057,1689763.0,1689763.0,109371.0,109371.0,0,Jlt,150,13.88,13.5,3156171.5933333333,2043886.0,154496.21333333335,114277.5,1840.1885660442886,0.24058174764235896
3,5128,3,2,0,4,4,1,388688,8271735,2,7,5,1613.0528471138846,0.04698989994239419,1.5,4.698989994239419,2757245.0,4135867.5,129562.66666666667,194344.0,2,Dubai Marina,150,14.393333333333333,14.5,3314335.4133333336,1853638.0,134646.74666666667,103249.5,2471.29217690207,0.0555398391489938
2,4941,3,3,0,2,4,2,370321,7856114,2,25,4,1589.9846184982796,0.04713793613483715,1.0,4.713793613483714,2618704.6666666665,2618704.6666666665,123440.33333333333,123440.33333333333,1,Downtown,150,14.986666666666666,16.5,3836531.2933333335,2075979.5,135382.2,94756.0,3732.885512365932,0.05127796328444744
0,943,1,1,1,4,0,2,71110,1040195,0,22,6,1103.0699893955461,0.06836218209085797,1.0,6.836218209085796,1040195.0,1040195.0,71110.0,71110.0,1,Arabian Ranches,150,13.866666666666667,13.0,3829629.88,2393458.0,179787.60666666666,126352.5,2254.776368531902,0.05689350499168153
5,5198,5,5,1,3,3,2,419069,7861462,2,22,3,1512.4013081954597,0.05330675133963632,1.0,5.330675133963632,1572292.4,1572292.4,83813.8,83813.8,1,Jvc,150,13.586666666666666,14.0,4014959.1533333333,2651562.5,183752.94666666666,136238.0,2326.06565864143,0.052906540760329336
3,703,1,1,1,3,0,2,33449,547877,0,6,5,779.3413940256046,0.06105202445074351,1.0,6.105202445074351,547877.0,547877.0,33449.0,33449.0,2,Dubai Marina,150,14.393333333333333,14.5,3314335.4133333336,1853638.0,134646.74666666667,103249.5,2471.29217690207,0.0555398391489938
1,867,2,2,1,0,1,3,52394,1247082,0,21,6,1438.3875432525952,0.04201327579100653,1.0,4.201327579100653,623541.0,623541.0,26197.0,26197.0,1,Business Bay,150,13.353333333333333,13.5,4000665.84,2364883.0,179861.19333333333,124607.0,2288.9976748101667,0.05601908357283476
3,597,3,4,1,2,5,3,45700,867383,0,14,5,1452.9028475711893,0.05268722121600262,0.75,5.268722121600262,289127.6666666667,216845.75,15233.333333333334,11425.0,0,Dubai Marina,150,14.393333333333333,14.5,3314335.4133333336,1853638.0,134646.74666666667,103249.5,2471.29217690207,0.0555398391489938
5,3029,3,3,2,3,4,2,254309,4983836,1,22,3,1645.37339055794,0.051026759307489254,1.0,5.102675930748926,1661278.6666666667,1661278.6666666667,84769.66666666667,84769.66666666667,1,Jvc,150,13.586666666666666,14.0,4014959.1533333333,2651562.5,183752.94666666666,136238.0,2326.06565864143,0.052906540760329336
4,1278,3,4,1,0,1,1,47844,1080069,0,14,3,845.12441314554,0.04429716990303397,0.75,4.4297169903033975,360023.0,270017.25,15948.0,11961.0,0,Jlt,150,13.88,13.5,3156171.5933333333,2043886.0,154496.21333333335,114277.5,1840.1885660442886,0.24058174764235896
7,1917,3,2,1,3,1,2,90502,1819827,0,20,3,949.3098591549295,0.04973110081342897,1.5,4.973110081342897,606609.0,909913.5,30167.333333333332,45251.0,0,The Springs,150,13.433333333333334,13.0,2985468.46,2037891.0,155682.62666666668,119137.5,1519.4261088490166,0.05484829468197995
3,2118,2,3,2,3,5,2,119496,2571641,1,6,3,1214.1836638338054,0.046466827990376575,0.6666666666666666,4.646682799037658,1285820.5,857213.6666666666,59748.0,39832.0,2,Dubai Marina,150,14.393333333333333,14.5,3314335.4133333336,1853638.0,134646.74666666667,103249.5,2471.29217690207,0.0555398391489938
3,627,2,3,0,1,1,1,40027,822203,0,19,6,1311.328548644338,0.048682624607305006,0.6666666666666666,4.8682624607305005,411101.5,274067.6666666667,20013.5,13342.333333333334,0,Dubai Marina,150,14.393333333333333,14.5,3314335.4133333336,1853638.0,134646.74666666667,103249.5,2471.29217690207,0.0555398391489938
3,1929,2,1,2,0,2,3,57419,1415580,0,13,4,733.8413685847589,0.04056217239576711,2.0,4.056217239576711,707790.0,1415580.0,28709.5,57419.0,0,Dubai Marina,150,14.393333333333333,14.5,3314335.4133333336,1853638.0,134646.74666666667,103249.5,2471.29217690207,0.0555398391489938
3,2979,3,4,0,4,5,2,172858,2645738,1,3,6,888.1295736824437,0.06533451158051175,0.75,6.533451158051175,881912.6666666666,661434.5,57619.333333333336,43214.5,2,Dubai Marina,150,14.393333333333333,14.5,3314335.4133333336,1853638.0,134646.74666666667,103249.5,2471.29217690207,0.0555398391489938
1,1220,3,2,2,2,0,1,87745,1738180,0,9,6,1424.7377049180327,0.050480962846195444,1.5,5.048096284619544,579393.3333333334,869090.0,29248.333333333332,43872.5,2,Business Bay,150,13.353333333333333,13.5,4000665.84,2364883.0,179861.19333333333,124607.0,2288.9976748101667,0.05601908357283476
2,699,2,1,1,3,0,3,50138,740327,0,1,4,1059.1230329041489,0.06772412731130974,2.0,6.772412731130974,370163.5,740327.0,25069.0,50138.0,2,Downtown,150,14.986666666666666,16.5,3836531.2933333335,2075979.5,135382.2,94756.0,3732.885512365932,0.05127796328444744
0,3084,3,2,2,2,1,1,183407,3424497,1,9,6,1110.407587548638,0.0535573545545521,1.5,5.35573545545521,1141499.0,1712248.5,61135.666666666664,91703.5,2,Arabian Ranches,150,13.866666666666667,13.0,3829629.88,2393458.0,179787.60666666666,126352.5,2254.776368531902,0.05689350499168153
5,987,1,2,2,4,3,2,80505,1408685,0,24,3,1427.2391084093213,0.05714904325665426,0.5,5.714904325665426,1408685.0,704342.5,80505.0,40252.5,1,Jvc,150,13.586666666666666,14.0,4014959.1533333333,2651562.5,183752.94666666666,136238.0,2326.06565864143,0.052906540760329336
